Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1
	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³	µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³
14/04/2019	4	0,1	1	8	15	10	99	3,3	287	21,3	39	1003	325	0	5	4
15/04/2019	4	0,1	2	10	17	13	101	1,7	96	18,5	70	1002	284	0	10	8
16/04/2019	4	0,1	4	13	21	18	83	1,8	72	16,6	83	1006	306	0	13	11
17/04/2019	4	0,1	2	11	18	14	81	2,5	40	16,1	77	1004	298	0	8	7
18/04/2019	4	0,1	1	12	18	14	85	2,5	331	17	66	999	54	0,4	5	4
19/04/2019	5	0,1	1	7	3	8	85	1,8	324	13,9	96	1002	19	30,5	3	2
20/04/2019														2		
23/04/2019														0,9		
24/04/2019	5	0,1	2	10	7	13	79	3,1	216	15,6	63	998	344	0	3	2
25/04/2019	4	0,1	4	14	11	21	58	2,4	300	17,4	70	1001	213	0	5	3
26/04/2019	4	0,1	1	8	10	10	78	3	287	17,5	55	1010	357	0	3	2
27/04/2019	6	0,1	1	9	9	11	83	1,5	121	16,8	74	1013	358	0	5	4
28/04/2019	3	0,1	1	8	6	10	69	1,5	91	16,9	59	1010	361	0	3	3
29/04/2019	4	0,1	3	9	8	13	70	1,5	95	16,2	75	1007	356	0	4	3
30/04/2019	4	0,1	3	8	12	13	74	1,4	155	16,8	82	1005	311	0	6	4
01/05/2019	4	0,1	1	4	8	6	82	1,2	69	17,7	72	1003	332	0	4	3
02/05/2019	4	0,1	2	7	14	10	83	2,6	50	18,2	60	1002	319	0	4	3
03/05/2019	5	0,1	2	9	13	12	78	2,4	40	16,3	71	999	308	0,1	4	3
04/05/2019	4	0,1	2	7	6	10	74	2,1	124	15,8	75	1001	334	0	4	3
05/05/2019	3	0,1	1	5	9	7	80	2,4	214	16,6	69	1003	338	0	4	3
06/05/2019	4	0,1	2	9	15	12	72	1,6	178	16,5	82	1006	292	0	8	7
07/05/2019	3	0,1	1	8	26	10	91	1,3	218	18,3	86	1005	272	0	18	17
08/05/2019	4	0,1	4	12	33	17	60	3,1	263	23	61	999	274	0	14	9
09/05/2019	4	0,1	2	11	19	14	56	2,6	250	23,1	62	1001	294	0	6	4
10/05/2019	4	0,1	2	13	18	16	51	2	272	24,7	56	1001	345	0	5	3
11/05/2019	4	0,1	2	9	17	11	67	2,2	74	23	61	1005	347	0	5	4
12/05/2019	4	0,1	1	3	11	4	81	1,8	139	19,4	75	1010	343	0	5	3
13/05/2019	4	0,1	2	6	12	10	78	1,7	99	18,1	74	1008	277	0	5	3
14/05/2019	4	0,1	2	8	16	11	79	2	232	18	67	1006	356	0	5	3
15/05/2019	4	0,1	2	10	21	14	86	1,9	60	19,1	70	999	350	0	7	5
16/05/2019	3	0,1	1	4	13	6	106	1,8	122	19,1	75	998	345	0	5	3
17/05/2019	3	0,1	2	8	56	11	78	5,7	309	20,9	42	994	292	0	6	2
18/05/2019	4	0,1	1	9	7	11	82	1,7	71	18,1	61	997	240	0	3	2
19/05/2019	4	0,1	1	6	5	8	84	2,1	88	17,6	69	998	305	0	3	2
20/05/2019	3	0,1	3	8	8	13	76	1,6	73	18,6	70	1000	330	0	3	2
21/05/2019	3	0,1	1	10	9	12	70	1,5	72	19,2	77	1003	245	0	5	4
22/05/2019	4	0,1	2	11	10	14	70	1,8	150	19,6	68	1005	357	0	4	3
23/05/2019	5	0,1	2	13	15	16	78	2	263	20,8	53	1005	325	0	4	3
24/05/2019	4	0,1	2	13	10	17	78	2,6	43	19,6	62	1001	107	0,1	4	3
25/05/2019	4	0,1	1	8	6	10	73	2,6	19	19	68	1004	161	0	3	3
26/05/2019	4	0,1	1	6	6	8	83	2,3	136	19,9	69	1004	335	0	4	4
27/05/2019	4	0,1	3	11	12	16	83	1,5	139	20,2	75	1000	337	0	7	6
28/05/2019	4	0,1	2	8	12	11	78	1,8	55	20,7	74	1001	340	0	7	6
29/05/2019	4	0,1	2	7	17	10	65	2,4	56	18,8	63	1008	365	0	4	3
30/05/2019	4	0,1	3	8	9	13	63	2,1	195	18,7	65	1013	361	0	3	2
31/05/2019	5	0,1	2	10	9	13	65	1,7	80	19,3	66	1011	364	0	4	3
01/06/2019	5	0,1	2	8	5	11	78	1,8	58	20,2	49	1009	375	0	2	2
02/06/2019	4	0,1	2	6	6	8	86	2	94	21	47	1007	377	0	2	2
03/06/2019	3	0,1	2	10	7	13	81	1,7	181	20,9	64	1005	355	0	3	2
04/06/2019	3	0,1	2	10	9	13	77	1,9	191	20,8	72	999	364	0	5	4
05/06/2019	3	0,1	2	10	42	13	65	3,7	312	23,5	45	996	330	0	8	4
06/06/2019	4	0,1	2	7	14	10	81	2,2	78	20,8	65	1000	355	0	3	2
07/06/2019	4	0,1	3	13	13	17	80	1,6	79	21,6	65	1002	355	0	4	3
08/06/2019	5	0,1	1	7	22	9	80	3,5	47	22,2	59	1006	342	0	5	3
09/06/2019	4	0,1	1	7	12	9	78	1,6	67	22,6	64	1002	214	0	3	2
10/06/2019	4	0,1	1	7	8	9	88	1,8	107	22,2	70	1000	344	0	3	2
11/06/2019	4	0,1	2	8		10	77	2,6	52	19,8	71	998	270	0		
12/06/2019	4	0,1	2	5		8	76	2,7	59	19,6	67	1001	360	0		
13/06/2019	4	0,1	2	5		7	85	3,2	59	22,4	65	998	334	0		
14/06/2019	4	0,1	2	11		14	80	2,4	174	22,9	63	999	304	0,1		
15/06/2019	4	0,1	2	7		10	90	2,2	350	23,7	45	1004	374	0		
16/06/2019	4	0,1	1	5		7	85	2	43	21,5	63	1006	257	0		
17/06/2019	5	0,1	2	12		16	75	2	209	21,5	66	1004	371	0		
