Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 03014009-Alacant - Rabassa
	
FECHA	HORA	NOx	O3	Veloc.	Direc.	Temp.	H.Rel.	Pres.	R.Sol.	Precip.	PM2.5	PM1	SO2	CO	NO	NO2	PM10
		µg/m³	µg/m³	m/s	grados	°C	% H.R.	mb	W/m²	l/m²	µg/m³	µg/m³	µg/m³	mg/m³	µg/m³	µg/m³	µg/m³
06/01/2015	06	23	5	0.1	11	5.9	94	1006	0	0	12	12	3	0.2	4	18	12
06/01/2015	07	9	18	0.2	344	5.4	93	1007	0	0	8	8	3	0.1	2	7	8
06/01/2015	08	11	19	0.1	334	5.3	90	1007	16	0.1	7	7	3	0.1	2	9	8
06/01/2015	09	18	17	0.1	352	7.3	88	1008	138	0	8	8	3	0.1	4	13	9
06/01/2015	10	30	24	0.1	7	11.7	80	1008	314	0	11	11	3	0.2	8	19	13
06/01/2015	11	15	41	0.1	57	14.5	75	1008	415	0	14	14	3	0.2	2	11	16
06/01/2015	12	18	43	0.1	78	15.4	70	1007	393	0	14	13	3	0.2	3	13	16
06/01/2015	13	23	44	0.1	123	15.6	69	1006	429	0	14	13	3	0.2	4	17	16
06/01/2015	14	14	50	0.2	96	15.8	71	1006	391	0	15	14	3	0.2	3	11	17
06/01/2015	15	7	61	0.6	68	15.5	69	1006	297	0	14	13	3	0.2	2	6	14
06/01/2015	16	8	63	0.5	59	14.4	66	1006	160	0	11	10	3	0.1	2	6	11
06/01/2015	17	12	56	0.3	62	13.4	74	1007	41	0	13	12	3	0.2	2	10	14
06/01/2015	18	49	20	0.1	15	12	81	1007	0	0	16	15	3	0.2	5	42	17
06/01/2015	19	62	7	0.2	6	11.1	82	1008	0	0	17	16	3	0.3	6	53	18
06/01/2015	20	75	4	0.3	13	10.2	83	1008	0	0	18	17	3	0.3	14	53	20
06/01/2015	21	41	6	0.4	353	8.3	86	1008	0	0	18	17	3	0.3	5	34	19
06/01/2015	22	16	16	0.4	344	7.3	89	1009	0	0	17	16	3	0.2	2	15	17
06/01/2015	23	13	18	0.5	343	7	89	1009	0	0	15	14	3	0.2	2	11	15
07/01/2015	00	10	22	0.3	344	6.9	89	1009	0	0	13	13	3	0.1	2	8	13
07/01/2015	01	8	22	0.5	346	6.5	89	1010	0	0	13	12	3	0.2	2	6	13
07/01/2015	02	10	21	0.5	337	7.4	89	1010	0	0	16	15	3	0.2	2	8	17
07/01/2015	03	8	25	0.4	341	8	89	1010	0	0	16	15	3	0.2	2	7	16
07/01/2015	04	10	21	0.4	343	7.6	89	1010	0	0	16	16	3	0.2	2	8	17
07/01/2015	05	10	20	0.3	343	7.3	90	1010	0	0	17	17	3	0.2	2	8	18
07/01/2015	06	15	14	0.4	341	6.9	91	1010	0	0	16	16	3	0.2	2	13	17
07/01/2015	07	25	12	0.4	339	7.6	90	1011	0	0	15	15	3	0.1	3	22	16
07/01/2015	08	34	9	0.4	344	8.3	87	1011	4	0	15	15	3	0.1	4	27	16
07/01/2015	09	35	11	0.2	345	9.3	85	1012	43	0	18	17	3	0.2	6	26	20
07/01/2015	10	31	19	0.3	336	11.3	81	1013	103	0	15	14	3	0.1	5	24	17
07/01/2015	11	30	24	0.3	334	13	76	1013	154	0	17	16	3	0.1	4	24	20
07/01/2015	12	13	48	0.3	322	14.6	69	1013	226	0	13	12	3	0.1	2	10	15
07/01/2015	13	8	64	0.1	335	16.9	56	1012	478	0	8	7	3	0.1	2	6	10
07/01/2015	14	11	68	0.2	82	16.8	51	1011	421	0	8	8	3	0.1	2	8	10
07/01/2015	15	11	69	0.5	127	15.9	59	1011	310	0	11	11	3	0.1	2	8	12
07/01/2015	16	6	71	0.4	113	15.1	68	1012	164	0	13	12	3	0.1	2	5	14
07/01/2015	17	13	63	0.1	86	14.3	72	1012	37	0	13	13	3	0.1	2	11	14
07/01/2015	18	41	34	0.1	57	13.1	78	1013	0	0	18	17	3	0.2	4	35	21
07/01/2015	19	171	2	0.1	4	11.7	82	1013	0	0	22	21	3	0.4	58	81	26
07/01/2015	20	55	6	0.3	337	9.3	88	1014	0	0	23	22	3	0.2	9	41	26
07/01/2015	21	26	15	0.4	333	9.6	89	1014	0	0	21	20	3	0.2	2	24	23
07/01/2015	22	16	23	0.5	329	9.2	90	1015	0	0	20	19	3	0.2	2	14	20
07/01/2015	23	11	28	0.5	334	9	90	1015	0	0	18	17	3	0.2	2	9	18
08/01/2015	00	7	31	0.4	336	8.3	90	1015	0	0	16	16	3	0.1	2	5	16
08/01/2015	01	7	32	0.7	328	7.9	91	1015	0	0	17	16	3	0.2	2	5	17
08/01/2015	02	13	25	0.6	329	7.3	92	1016	0	0	19	18	3	0.1	2	11	20
08/01/2015	03	14	23	0.7	329	7.2	91	1016	0	0	19	18	3	0.1	2	12	19
08/01/2015	04	17	17	0.6	330	6.6	91	1016	0	0	19	19	3	0.1	2	14	20
08/01/2015	05	15	16	0.7	334	6	92	1016	0	0	20	19	3	0.1	2	13	20
08/01/2015	06	16	14	0.8	335	5.6	92	1016	0	0	19	18	3	0.1	2	14	19
08/01/2015	07	23	10	0.4	340	5.5	92	1017	0	0	18	18	3	0.1	3	19	19
08/01/2015	08	39	5	0.5	346	5.7	91	1018	16	0	18	17	3	0.2	8	27	19
08/01/2015	09	38	12	0.4	338	7.8	87	1019	147	0	19	19	3	0.2	9	25	21
08/01/2015	10	64	16	0.1	305	11.8	77	1019	294	0	23	21	3	0.2	22	30	39
08/01/2015	11	36	33	0.1	266	14.6	67	1019	383	0	22	17	3	0.1	7	25	64
08/01/2015	12	30	46	0.1	220	15.2	63	1019	414	0	17	16	3	0.1	6	22	23
08/01/2015	13	28	51	0.1	185	16.6	56	1018	474	0	15	14	3	0.2	5	21	19
08/01/2015	14	28	55	0.2	151	16.3	57	1018	417	0	18	17	3	0.1	4	22	20
08/01/2015	15	16	67	0.4	156	15.8	61	1019	309	0	20	20	3	0.2	2	13	24
08/01/2015	16	12	69	0.4	154	15.3	64	1019	166	0	18	18	3	0.1	2	10	22
08/01/2015	17	20	61	0.1	120	14.4	67	1020	39	0	19	18	3	0.1	2	18	30
08/01/2015	18	59	22	0.1	58	13.1	74	1020	1	0	21	20	3	0.3	6	51	25
08/01/2015	19	181	2	0.1	14	11.8	80	1021	0	0	26	25	3	0.5	63	84	30
08/01/2015	20	91	3	0.2	349	9.5	85	1021	0	0	26	25	3	0.3	26	52	30
08/01/2015	21	28	12	0.7	330	7.9	88	1021	0	0	26	25	3	0.2	2	25	28
08/01/2015	22	18	19	0.7	329	7.6	88	1022	0	0	26	25	3	0.2	2	16	27
08/01/2015	23	15	21	0.6	336	7.4	90	1022	0	0	25	24	3	0.2	2	13	25
09/01/2015	00	8	29	0.8	328	7.5	89	1022	0	0	22	22	3	0.1	2	7	23
09/01/2015	01	9	26	0.4	329	6.8	90	1022	0	0	23	23	3	0.2	2	8	24
09/01/2015	02	20	10	0.4	334	6	92	1022	0	0	24	24	3	0.2	2	19	25
09/01/2015	03	17	17	0.8	331	5.9	92	1022	0	0	21	21	3	0.2	2	15	22
09/01/2015	04	11	22	0.7	336	5.8	90	1023	0	0	16	16	3	0.1	2	9	17
09/01/2015	05	14	19	0.5	328	5.3	89	1022	0	0	15	14	3	0.1	2	12	15
09/01/2015	06	16	15	0.9	329	5.2	89	1023	0	0	15	15	3	0.1	2	14	16
09/01/2015	07	26	10	0.9	333	5.1	88	1024	0	0	14	13	3	0.1	3	22	14
09/01/2015	08	35	9	1	332	5.7	86	1024	24	0	12	11	3	0.1	5	27	13
09/01/2015	09	36	16	0.7	333	8.2	79	1025	171	0	11	11	3	0.1	8	24	13
09/01/2015	10	64	16	0.2	275	12.2	69	1025	321	0	15	12	3	0.2	21	32	41
09/01/2015	11	65	24	0.1	224	14.4	61	1025	437	0	14	13	3	0.2	18	37	21
09/01/2015	12	48	36	0.1	220	16.3	53	1024	502	0	11	10	3	0.1	11	31	14
09/01/2015	13	19	58	0.2	234	17.6	41	1023	505	0	6	5	3	0.1	3	14	8
09/01/2015	14	15	65	0.7	222	18.1	33	1022	448	0	5	4	3	0.1	2	11	6
09/01/2015	15	15	63	1	211	17.9	36	1022	338	0	9	8	3	0.1	2	12	11
09/01/2015	16	14	65	0.9	213	17.2	38	1022	189	0	9	8	3	0.1	2	11	10
09/01/2015	17	18	57	0.4	196	15.5	55	1022	43	0	12	11	3	0.1	2	15	16
09/01/2015	18	17	56	0.1	193	13.8	68	1023	1	0	15	14	3	0.2	2	15	18
09/01/2015	19	43	41	0.1	230	12.4	75	1023	0	0	17	16	3	0.2	10	30	21
09/01/2015	20	113	2	0.3	321	8.8	78	1023	0	0	20	17	3	0.3	38	56	35
09/01/2015	21	33	8	0.5	333	7.6	77	1023	1	0	15	13	3	0.2	3	29	20
09/01/2015	22	33	7	0.7	332	6.8	78	1022	1	0	15	14	3	0.2	3	29	19
09/01/2015	23	19	14	0.2	330	6.1	79	1022	1	0	12	11	3	0.2	2	17	14
10/01/2015	00	21	15	0.5	336	6.3	77	1022	1	0	11	11	3	0.2	2	19	14
10/01/2015	01	21	15	0.8	327	6.5	74	1021	1	0	11	10	3	0.2	2	19	12
10/01/2015	02	19	16	0.5	326	5.7	74	1020	1	0	9	8	3	0.1	2	17	11
10/01/2015	03	17	17	0.3	330	5.8	72	1020	0	0	8	7	3	0.2	2	15	10
10/01/2015	04	16	18	0.6	327	5.3	72	1019	0	0	7	6	3	0.2	2	14	9
10/01/2015	05	17	19	0.3	307	5.9	69	1018	1	0	7	6	3	0.1	2	15	14
10/01/2015	06	18	18	0.4	322	5.6	68	1018	1	0	5	4	3	0.1	2	17	11
10/01/2015	07	21	21	0.3	332	6.3	65	1017	1	0	4	3	3	0.1	3	17	15
10/01/2015	08	37	12	0.1	29	6.9	62	1017	36	0	4	3	3	0.1	7	27	11
10/01/2015	09	37	23	0.2	256	9.9	54	1017	191	0	4	3	3	0.1	5	30	19
10/01/2015	10	31	28	0.1	251	12.9	47	1017	344	0	5	4	3	0.1	8	18	17
10/01/2015	11	48	27	0.1	113	16.1	39	1017	456	0	7	4	3	0.1	13	28	32
10/01/2015	12	37	43	0.2	162	17.3	40	1015	511	0	18	17	3	0.3	8	25	28
10/01/2015	13	18	55	0.8	197	18.4	36	1014	511	0	13	12	3	0.2	3	14	18
10/01/2015	14	15	56	0.4	191	20.8	30	1013	459	0	5	4	3	0.1	2	12	11
10/01/2015	15	14	61	0.5	191	20.5	31	1012	348	0	7	6	3	0.1	2	11	14
10/01/2015	16	18	62	0.2	206	20.6	31	1012	198	0	11	10	3	0.2	2	15	17
10/01/2015	17	22	50	0.1	210	19.8	32	1011	47	0	11	9	3	0.2	2	21	19
10/01/2015	18	47	32	0.4	276	16.7	39	1011	2	0	14	12	3	0.3	6	38	26
10/01/2015	19	43	12	0.3	316	13.6	51	1011	1	0	15	13	3	0.3	2	40	31
10/01/2015	20	37	15	0.2	269	14.6	45	1010	2	0	13	10	3	0.2	2	36	42
10/01/2015	21	30	25	0.4	242	14.8	37	1010	1	0	7	6	3	0.2	2	27	16
10/01/2015	22	28	26	0.5	303	13.9	33	1010	1	0	4	4	3	0.1	3	25	10
10/01/2015	23	14	42	0.9	305	15.7	25	1009	1	0	3	2	3	0.1	2	12	16
11/01/2015	00	16	43	0.4	267	16.4	21	1009	1	0	3	2	3	0.1	2	14	13
11/01/2015	01	25	36	0.8	302	15.3	22	1009	1	0	6	2	3	0.1	4	21	49
11/01/2015	02	35	35	1	305	16.1	20	1008	1	0	5	2	3	0.2	5	27	40
11/01/2015	03	13	50	0.8	319	15.6	22	1008	1	0	3	1	3	0.1	3	10	12
11/01/2015	04	9	54	0.9	315	15.1	22	1008	1	0	2	1	3	0.1	2	7	6
11/01/2015	05	6	56	0.9	331	13.8	24	1008	1	0	1	1	3	0.1	2	4	2
11/01/2015	06	7	53	1	322	13.4	28	1008	1	0	3	2	3	0.1	2	5	7
11/01/2015	07	7	53	0.8	330	14.2	30	1008	2	0	3	3	3	0.1	2	5	7
11/01/2015	08	13	49	0.8	315	14.9	29	1009	35	0	4	3	3	0.1	3	10	11
11/01/2015	09	20	43	0.4	268	16.5	29	1009	187	0	4	3	3	0.1	3	16	13
11/01/2015	10	17	46	0.6	151	17.9	35	1010	336	0	4	4	3	0.1	3	12	8
11/01/2015	11	18	44	0.8	56	17.6	48	1010	441	0	6	5	3	0.2	3	13	8
11/01/2015	12	16	50	0.7	82	18.5	46	1010	498	0	4	3	3	0.1	3	12	6
11/01/2015	13	13	58	0.1	106	19.6	38	1009	494	0	3	2	3	0.1	3	10	5
11/01/2015	14	10	64	0.3	182	19.6	36	1009	444	0	2	2	3	0.1	2	8	4
11/01/2015	15	7	68	0.2	162	19.2	36	1010	324	0	2	2	3	0.1	2	5	3
11/01/2015	16	10	66	0.1	134	18.7	38	1010	177	0	3	2	3	0.1	2	7	5
11/01/2015	17	13	61	0.1	123	17.7	41	1011	41	0	5	3	3	0.1	2	11	17
11/01/2015	18	19	56	0.1	130	16.2	46	1012	1	0	4	3	3	0.1	2	17	7
11/01/2015	19	204	14	0.1	30	14	54	1013	0	0	14	11	5	0.5	84	74	34
11/01/2015	20	100	4	0.3	355	11.4	62	1014	0	0	13	11	4	0.4	28	56	21
11/01/2015	21	27	18	0.9	331	9.5	67	1014	0	0	8	7	3	0.2	2	25	11
11/01/2015	22	18	27	0.8	337	9.2	67	1015	1	0	6	6	3	0.2	2	16	7
11/01/2015	23	15	29	0.6	341	8.9	68	1015	1	0	6	5	3	0.1	2	13	7
12/01/2015	00	10	36	1	332	8.9	68	1015	1	0	5	4	3	0.1	2	8	6
12/01/2015	01	8	36	0.7	333	8.5	70	1015	1	0	4	4	3	0.1	2	6	5
12/01/2015	02	9	33	0.9	332	8.3	71	1016	0	0	5	5	3	0.1	2	7	6
12/01/2015	03	16	22	1	333	8.1	72	1016	0	0	9	8	3	0.2	2	14	11
12/01/2015	04	13	25	0.8	340	7.7	73	1015	0	0	6	6	3	0.1	2	11	7
12/01/2015	05	11	26	0.7	337	7.3	75	1015	0	0	5	5	3	0.1	2	9	6
12/01/2015	06	15	21	1	332	7.1	78	1015	0	0	5	4	3	0.1	2	13	6
12/01/2015	07	26	12	0.7	342	7.1	80	1016	0	0	5	4	3	0.1	3	22	6
12/01/2015	08	40	7	0.7	342	8.1	80	1016	13	0	5	4	3	0.1	6	30	7
12/01/2015	09	55	9	0.6	346	10	78	1016	86	0	6	5	3	0.2	15	32	10
